Symbol,ETF Name,Inception,Type
FXA,Invesco CurrencyShares® Australian Dollar Trust ,2006-06-26,Currency
FXB,Invesco CurrencyShares® British Pound Sterling Trust ,2006-06-26,Currency
FXC,Invesco CurrencyShares® Canadian Dollar Trust ,2006-06-26,Currency
FXCH,Invesco CurrencyShares® Chinese Renminbi Trust ,2011-09-29,Currency
FXE,Invesco CurrencyShares® Euro Currency Trust ,2005-12-09,Currency
FXY,Invesco CurrencyShares® Japanese Yen Trust ,2007-02-12,Currency
FXSG,Invesco CurrencyShares® Singapore Dollar Trust ,2013-02-13,Currency
FXS,Invesco CurrencyShares® Swedish Krona Trust ,2006-06-26,Currency
FXF,Invesco CurrencyShares® Swiss Franc Trust ,2006-06-26,Currency
DBV,Invesco DB G10 Currency Harvest Fund,2006-09-18,Currency
UDN,Invesco DB US Dollar Index Bearish Fund,2007-02-20,Currency
UUP,Invesco DB US Dollar Index Bullish Fund,2007-02-20,Currency
URR,Market Vectors Double Long Euro ETN,2008-05-07,Currency
DRR,Market Vectors Double Short Euro ETN,2008-05-07,Currency
CNY,Market Vectors-Renminbi/USD ETN,2008-03-17,Currency
INR,Market Vectors-Rupee/USD ETN,2008-03-18,Currency
EUFX,ProShares Short Euro,2012-06-26,Currency
ULE,ProShares Ultra Euro,2008-11-24,Currency
YCL,ProShares Ultra Yen,2008-11-24,Currency
CROC,ProShares UltraShort Australian Dollar,2012-07-17,Currency
EUO,ProShares UltraShort Euro,2008-11-24,Currency
YCS,ProShares UltraShort Yen,2008-11-24,Currency
USDU,WisdomTree Bloomberg U.S. Dollar Bullish Fund,2013-12-18,Currency
BZF,WisdomTree Brazilian Real Fund,2008-05-14,Currency
CYB,WisdomTree Chinese Yuan Fund,2008-05-14,Currency
CEW,WisdomTree Emerging Currency Fund,2009-05-06,Currency
FPE,First Trust Preferred Securities and Income ETF,2013-02-11,Prefered Stock
SPFF,Global X SuperIncome Preferred ETF,2012-07-16,Prefered Stock
PGF,Invesco Financial Preferred ETF,2006-12-01,Prefered Stock
PGX,Invesco Preferred ETF,2008-01-31,Prefered Stock
IPFF,iShares International Preferred Stock ETF,2011-11-15,Prefered Stock
PFF,iShares U.S. Preferred Stock ETF,2007-03-30,Prefered Stock
PSK,SPDR Wells Fargo Preferred Stock ETF,2009-09-16,Prefered Stock
PFXF,VanEck Vectors Preferred Securities ex Financials ETF,2012-07-16,Prefered Stock
