y/m,rf
090/01,5
090/02,4.8
090/03,4.69
090/04,4.275
090/05,4.15
090/06,4.15
090/07,3.9
090/08,3.65
090/09,3.15
090/10,2.8
090/11,2.5
090/12,2.5
091/01,2.3
091/02,2.3
091/03,2.3
091/04,2.375
091/05,2.375
091/06,2.375
091/07,2.125
091/08,2.125
091/09,2.125
091/10,2.125
091/11,1.875
091/12,1.875
092/01,1.525
092/02,1.525
092/03,1.525
092/04,1.525
092/05,1.525
092/06,1.525
092/07,1.4
092/08,1.4
092/09,1.4
092/10,1.4
092/11,1.4
092/12,1.4
093/01,1.4
093/02,1.4
093/03,1.4
093/04,1.4
093/05,1.4
093/06,1.4
093/07,1.4
093/08,1.4
093/09,1.4
093/10,1.525
093/11,1.525
093/12,1.525
094/01,1.59
094/02,1.59
094/03,1.69
094/04,1.69
094/05,1.69
094/06,1.69
094/07,1.79
094/08,1.79
094/09,1.89
094/10,1.89
094/11,1.89
094/12,1.99
095/01,1.99
095/02,1.99
095/03,1.99
095/04,2.06
095/05,2.06
095/06,2.06
095/07,2.13
095/08,2.13
095/09,2.13
095/10,2.2
095/11,2.2
095/12,2.2
096/01,2.23
096/02,2.23
096/03,2.23
096/04,2.26
096/05,2.26
096/06,2.515
096/07,2.515
096/08,2.515
096/09,2.575
096/10,2.575
096/11,2.575
096/12,2.635
097/01,2.635
097/02,2.635
097/03,2.635
097/04,2.675
097/05,2.675
097/06,2.735
097/07,2.735
097/08,2.735
097/09,2.685
097/10,2.42
097/11,2.17
097/12,1.42
098/01,0.92
098/02,0.77
098/03,0.77
098/04,0.77
098/05,0.77
098/06,0.77
098/07,0.77
098/08,0.77
098/09,0.77
098/10,0.9
098/11,0.9
098/12,0.9
099/01,0.9
099/02,0.9
099/03,0.9
099/04,0.9
099/05,0.9
099/06,1.025
099/07,1.025
099/08,1.025
099/09,1.025
099/10,1.135
099/11,1.135
099/12,1.135
100/01,1.185
100/02,1.185
100/03,1.185
100/04,1.275
100/05,1.275
100/06,1.275
100/07,1.355
100/08,1.355
100/09,1.355
100/10,1.355
100/11,1.355
100/12,1.355
101/01,1.355
101/02,1.355
101/03,1.355
101/04,1.355
101/05,1.355
101/06,1.355
101/07,1.355
101/08,1.355
101/09,1.355
101/10,1.355
101/11,1.355
101/12,1.355
102/01,1.355
102/02,1.355
102/03,1.355
102/04,1.355
102/05,1.355
102/06,1.355
102/07,1.355
102/08,1.355
102/09,1.355
102/10,1.355
102/11,1.355
102/12,1.355
103/01,1.355
103/02,1.355
103/03,1.355
103/04,1.355
103/05,1.355
103/06,1.355
103/07,1.355
103/08,1.355
103/09,1.355
103/10,1.355
103/11,1.355
103/12,1.355
104/01,1.355
104/02,1.355
104/03,1.355
104/04,1.355
104/05,1.355
104/06,1.355
104/07,1.355
104/08,1.355
104/09,1.285
104/10,1.285
104/11,1.285
104/12,1.205
105/01,1.205
105/02,1.205
105/03,1.125
105/04,1.125
105/05,1.125
105/06,1.125
105/07,1.035
105/08,1.035
105/09,1.035
105/10,1.035
105/11,1.035
105/12,1.035
106/01,1.035
106/02,1.035
106/03,1.035
106/04,1.035
106/05,1.035
106/06,1.035
106/07,1.035
106/08,1.035
106/09,1.035
106/10,1.035
106/11,1.035
106/12,1.035
107/01,1.035
107/02,1.035
107/03,1.035
107/04,1.035
107/05,1.035
107/06,1.035
107/07,1.035
107/08,1.035
107/09,1.035
107/10,1.035
107/11,1.035
107/12,1.035
108/01,1.035
108/02,1.035
108/03,1.035
108/04,1.035
108/05,1.035
108/06,1.035
